FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
9150,Northeastern Connecticut Planning Region,Connecticut,0.30583,0.3894,0.2953,0.5065,0.0955,Tier 3: Moderate
9160,Northwest Hills Planning Region,Connecticut,0.33902,0.2558,0.3608,0.5597,0.2606,Tier 3: Moderate
9170,South Central Connecticut Planning Region,Connecticut,0.64441,0.4884,0.3681,0.7655,0.9039,Tier 2: High
9180,Southeastern Connecticut Planning Region,Connecticut,0.50512,0.3541,0.4734,0.6128,0.6055,Tier 2: High
9190,Western Connecticut Planning Region,Connecticut,0.4883200000000001,0.4034,0.3102,0.7751,0.5008,Tier 3: Moderate
10001,Kent County,Delaware,0.75841,0.6306,0.8676,0.7964,0.7881,Tier 1: Critical
10003,New Castle County,Delaware,0.5455099999999999,0.3376,0.4018,0.8352,0.6561,Tier 2: High
10005,Sussex County,Delaware,0.51433,0.4483,0.6904,0.6166,0.3948,Tier 2: High
11001,District of Columbia,District of Columbia,0.6295899999999999,0.4394,0.1056,0.9386,0.9631,Tier 2: High
12001,Alachua County,Florida,0.63321,0.629,0.0309,0.7881,0.9357,Tier 2: High
12003,Baker County,Florida,0.5876899999999999,0.6118,0.4073,0.5558,0.7051,Tier 2: High
12005,Bay County,Florida,0.68489,0.6405,0.8126,0.6083,0.6952,Tier 2: High
12007,Bradford County,Florida,0.7623899999999999,0.9144,0.3198,0.6354,0.9901,Tier 1: Critical
12009,Brevard County,Florida,0.4815,0.4833,0.4913,0.6424,0.3659,Tier 3: Moderate
12011,Broward County,Florida,0.72893,0.791,0.4935,0.9481,0.6777,Tier 2: High
12013,Calhoun County,Florida,0.79189,0.7989,0.7124,0.6045,0.9628,Tier 1: Critical
12015,Charlotte County,Florida,0.56047,0.5908,0.6554,0.489,0.5145,Tier 2: High
12017,Citrus County,Florida,0.51423,0.7321,0.5857,0.3977,0.3264,Tier 2: High
12019,Clay County,Florida,0.40973000000000004,0.2978,0.5087,0.6647,0.2857,Tier 3: Moderate
12021,Collier County,Florida,0.59495,0.588,0.4362,0.7636,0.5953,Tier 2: High
12023,Columbia County,Florida,0.8336999999999999,0.8311,0.818,0.6487,0.9701,Tier 1: Critical
12027,DeSoto County,Florida,0.95594,0.992,0.9656,0.8447,0.9876,Tier 1: Critical
12029,Dixie County,Florida,0.69041,0.7681,0.4884,0.4699,0.8944,Tier 2: High
12031,Duval County,Florida,0.75211,0.7105,0.6144,0.8711,0.8062,Tier 1: Critical
